NYC TLC Base License #,Radio Base Name,Base Type,Preferred Luxury Discount,Loss Control Discount
B02641,AVENUE X CAR SERVICE INC.,Livery ,N,N
B02799,CHURCH AVENUE EXPRESS INC,Livery ,N,N
B01606,LA MEXICANA EXPRESS INC.,Livery ,N,N
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,Livery ,N,N
B02395,ABATAR LLC,Livery ,N,N
B03154,AGAPE LIMO CORP.,Livery ,N,N
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,Livery ,N,N
B01145,ULTRA RADIO DISP INC,Livery ,N,N
B00821,ATLANTIC CAR SVCE,Livery ,N,N
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",Livery ,N,N
B01343,ALL PEOPLE CAR SERVICE INC.,Livery ,N,N
B01259,THE NEW BROOKLYN C/S INC,Livery ,N,N
B01351,HADERECH CAR SERVICE INC,Livery ,N,N
B01109,UNITED EXP C/L SVCE,Livery ,N,N
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",Livery ,N,N
B00639,ROCAPULCO CAR SERVICE INC.,Livery ,N,N
B01868,LIMO 4 LLC,Livery ,N,Y
B02857,MATHES SERVICE INC.,Livery ,N,N
B01768,NEW SUPERIOR RADIO GRP CORP,Livery ,N,N
B01629,BBA MANAGEMENT INC.,Livery ,N,N
B01311,DISCOUNT CAR SVCE,Livery ,N,N
B01280,BENSONHURST RIDE INC.,Livery ,N,N
B00625,"CENTRAL CAR SERVICES,INC.",Livery ,N,N
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,Livery ,N,N
B00171,CURB TRANSPORTATION SERVICES LLC.,Livery ,N,N
B01717,HIGH CLASS BRONX LIMO C/S CORP,Livery ,N,N
B01381,CLASSIC CAR SERVICE CORP.,Livery ,N,N
B01065,EL BARRIO'S CAR SERVICE LLC,Livery ,N,N
B00350,CHAMPION CAR & LIMO SVC. INC.,Livery ,N,N
B02162,A B C SHUTTLE SERVICES CORPORATION,Livery ,N,N
B02803,OUTSIDE'S CAR SERVICE INC.,Livery ,N,N
B02279,MATAMOROS CAR SERVICE INC.,Livery ,N,N
B00850,UPTOWN TRANSIT CORP,Livery ,N,N
B02145,NEW 2020 CAR SERVICE INC,Livery ,N,N
B01600,R & N CAR SERVICE INC.,Livery ,N,N
B00031,QUEENS VILLAGE INC.,Livery ,N,N
B01663,CIBAO RADIO DISPATCH,Livery ,N,N
B01231,GO CAR CORP.,Livery ,N,N
B01285,UNION RADIO DISPATCH INC,Livery ,N,N
B00987,MARLBORO CAR SERVICE INC.,Livery ,N,N
B01751,CONCORDE EXP OF N.Y. INC,Livery ,N,N
B01525,NORTHSIDE BK LLC,Livery ,N,Y
B02391,"BAYRIDGE EXPRESS, INC",Livery ,N,N
B02660,EXIT CAR SERVICE INC.,Livery ,N,N
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,Livery ,N,N
B01593,"NOVAK GLOBAL, INC.",Livery ,N,N
B01288,NEW ELEGANTE CAR SVC INC,Livery ,N,N
B02416,"NEW STORM CAR SERVICE, INC.",Livery ,N,N
B00919,HARLEM CARS INC.,Livery ,N,N
B01200,NEW YORK APPLE CAR SERVICE INC,Livery ,N,N
B02491,CALL THREES LLC,Livery ,N,N
B00653,ROYAL CAR & LIMO SERVICE INC.,Livery ,N,N
B02320,GDS TRANSPORTATION CORP.,Livery ,N,N
B02462,TIFFANY'S CAR SERVICE INC.,Livery ,N,N
B00984,P J CAR SVCE,Livery ,N,N
B02782,NEW APP CAR & LIMO INC,Livery ,N,N
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",Livery ,N,N
B01406,GOTHAM CAR SERVICE INC.,Livery ,N,N
B01336,BAY EXPRESS CORP.,Livery ,N,N
B01726,SUPER CLASS RADIO DISP INC,Livery ,N,N
B01346,ARECIBO C/S INC,Livery ,N,N
B02738,EXPLORER CAR SERVICE INC.,Livery ,N,N
B01614,R TRANSPORT INC,Livery ,N,N
B02379,THE OPTION TRANSPORTATION CORP.,Livery ,N,N
B01848,GRAND LIMO & CAR SERVICE INC.,Livery ,N,N
B00196,NEW EASY WAY RADIO DISP INC,Livery ,N,N
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,Livery ,N,N
B02709,DASH CAR SERVICE CORP,Livery ,N,N
B01389,METRO LUXURY INC,Livery ,N,N
B02569,LAPUMA GO GREEN LLC,Livery ,N,N
B01312,BROOKLYN RAD DISP INC,Livery ,N,N
B01269,DIVISION CAR & LIMO INC.,Livery ,N,N
B01745,AZUAY CORPORATION,Livery ,N,N
B02546,X RADIO DISPATCHER INC.,Livery ,N,N
B00375,THE EXCELLENT C/S INC,Livery ,N,N
B02557,185 MALTA CAR SERVICE LLC,Livery ,N,N
B00131,NEW MEXICANA CAR SERVICE II INC.,Livery ,N,N
B02315,LA MORENITA CAR LIMO SERVICE INC,Livery ,N,N
B01679,OLLIE'S TRANSPORTATION SERVICE,Livery ,N,N
B01398,ALEX EXP C/L INC,Livery ,N,N
B01056,UNITY CAR & LIMO INC.,Livery ,N,N
B00160,JAFFA CAR & LIMO SVC INC,Livery ,N,N
B02245,OCEANA CAR AND LIMO,Livery ,N,N
B03009,APPROACH CAR SERVICE LLC.,Livery ,N,N
B01651,U.P.S. RADIO DISPATCH CORP.,Livery ,N,N
B01263,"RACHEL'S CAR SERVICE,INC.",Livery ,N,N
B00932,NATASHAS GRP CAR CORP,Livery ,N,N
B01625,GLOBE CAR SERVICE INC,Livery ,N,N
B01057,NEW AMERICAN C/L SVC,Livery ,N,N
B00449,A KINGS HWY C/S INC.,Livery ,N,N
B00811,LLAMA LIMO C/S CORP,Livery ,N,N
B02731,EMES OF BOROPARK CAR SERVICE INC,Livery ,N,N
B00860,SEAMAN RADIO DISPATCHERS INC,Livery ,N,N
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",Livery ,N,N
B02793,SEAVIEW ISLAND CAR SERVICE,Livery ,N,N
B00112,"AYY&M TRANSPORTATION, LLC",Livery ,N,N
B02658,ASCONA CAR SERVICE INC.,Livery ,N,N
B01741,MONACO LIMO & CAR SERVICES INC.,Livery ,N,N
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,Livery ,N,N
B01623,JAMAICA EXPRESS CAR SERVICE INC.,Livery ,N,N
B02509,NY MINUTE CAR SERVICE INC.,Livery ,N,N
B00727,RECHEV OF BROOKLYN INC,Livery ,N,N
B00827,"CASTLE CAR SERVICE, INC",Livery ,N,N
B02661,MIC-LOU CAR SERVICES_LLC,Livery ,N,N
B01308,LIL'D DISPATCH INC.,Livery ,N,N
B02688,KJ TRANSPORTATION,Livery ,N,N
B01534,METRO CAR SERVICE CORP.,Livery ,N,N
B01124,COOPERATIVA CLBNA DE CON INC,Livery ,N,N
B01678,"G.T.N.Y. CAR SERVICE, INC.",Livery ,N,N
B01051,B Q N C/S CORP,Livery ,N,N
B00310,WATSON CAR SERVICE INC.,Livery ,N,N
B00325,CONTINENTAL RADIO DISPATCH CORP.,Livery ,N,N
B01079,THE METRO MARINE CAR SERVICE INC,Livery ,N,N
B01738,SAETA CAR SERVICE INC.,Livery ,N,N
B00972,N.J.M.INC.,Livery ,N,N
B01340,UNICAR COMPANY INC,Livery ,N,N
B00882,U N C CAR & LIMO SERVICE,Livery ,N,N
B00346,MERRICK C/S INC,Livery ,N,N
B01215,ECUADOOR CORP,Livery ,N,N
B02536,SEAGULL RIDE CORP,Livery ,N,N
B02346,PIA CAR LIMO. INC.,Livery ,N,N
B01339,R C AUDUBON SVC INC,Livery ,N,N
B02790,"LAN TIAN CAR SERVICE, INC",Livery ,N,N
B01529,J.I.G. TRANSPORT CORP.,Livery ,N,N
B01764,QUICK RIDE CORP.,Livery ,N,N
B00009,T-D MAINTENANCE,Livery ,N,N
B01039,NYC WHEELS CAR SERVICE INC.,Livery ,N,N
B01536,FIRST CLASS C/L SVC CORP,Livery ,N,N
B02163,JUNIORS EXPRESS CAR SERVICE INC.,Livery ,N,N
B02182,"FINEST CAR SERVICE, LLC",Livery ,N,N
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,Livery ,N,N
B01244,MASADA II C/L SVC INC,Livery ,N,N
B02390,TEL AVIV CAR & LIMOUSINE SERVICE INC.,Livery ,N,Y
B00802,BELL CAR SVC INC,Livery ,N,N
B00290,ZPI CORPORATION,Livery ,N,N
B01243,EILAT TRANSPORTATION CORP,Livery ,N,N
B01239,BEST DEAL PVT C/S INC,Livery ,N,N
B02481,TEN I CON CORP.,Livery ,N,N
B01452,AREAS TRANSP INC,Livery ,N,N
B00255,CAUTIOUS CARS INC.,Livery ,N,N
B02573,SUNSET PARK CAR SERVICE INC,Livery ,N,N
B02988,"BED STAR DRIVERS ASSOCIATES, INC",Livery ,N,N
B01083,BROAD DYCKMAN C/S INC,Livery ,N,N
B02026,A RIDE FOR ALL LLC,Livery ,N,Y
B02004,METROPOLITAN MULTIPLEX CAR SERVICE CORP.,Livery ,N,N
B00095,LIBERTY CAR SERVICE INC.,Livery ,N,N
B01020,MICHAELS CAR SERVICE INC.,Livery ,N,N
B00256,FAST OPERATING CORP,Livery ,N,Y
B02760,VISMAR RADIO DISPATCH INC.,Livery ,N,N
B01510,JPAN TRANSPORTATION INC,Livery ,N,N
B00941,PERSONAL TOUCH C/S,Livery ,N,N
B02736,TRINITY CAR SERVICE INC,Livery ,N,N
B01424,EAGLE CAR & LIMO LTD.,Livery ,N,N
B01432,TOVAR TRANSPORTATION INC,Livery ,N,N
B01601,YOURS CAR SERVICE INC,Livery ,N,N
B00559,7 OCEAN EXPRESS INC.,Livery ,N,N
B01362,AMERICAN BASE NO.1 INC.,Livery ,N,N
B01710,"79 MASADA III, INC.",Livery ,N,N
B02999,"TEST BASE, TEST TEST",Livery ,N,N
B01196,DIPLO RAD DISP INC,Livery ,N,N
B02249,"LA RAZA CAR SERVICE, INC.",Livery ,N,N
B03265,"TIJUANA CAR SERVICE NO. 1, INC",Livery ,N,N
B02937,"ACCESS TRANSPORTATION GROUP, LLC",Livery ,N,N
B03043,NYM MEDICAL TRANSPORTATION INC.,Livery ,N,N
B01509,"BRUNWISH ENTERPRISES,LTD.",Livery ,N,N
B02657,MALCOLM LIMO EXPRESS CORP.,Livery ,N,N
B01540,ROCKAWAY VIP SERVICE INC.,Livery ,N,N
B02037,KINGSDALE DISPATCH INC,Livery ,N,N
B01009,UNITED LIMO C/M SVC CORP,Livery ,N,N
B01338,3210 WEBSTER AV PRESTIGE C/S,Livery ,N,N
B00706,"VIC & BAY CAR SERVICE, INC",Livery ,N,N
B02463,MORENITA EXPRESS CAR SERVICE INC.,Livery ,N,N
B01118,INTERNATIONAL CAR SERVICE INC.,Livery ,N,N
B01466,FIVE STAR,Livery ,N,N
B00021,MEXICANA HIGH CLASS INC.,Livery ,N,N
B01553,CITY LINE CAR SERVICE INC,Livery ,N,N
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,Livery ,N,N
B01482,SHORE TRANSPORTATION INC,Livery ,N,N
B02377,AMERICAN BASE #2. INC.,Livery ,N,N
B02643,LORY CAR SERVICE CORP.,Livery ,N,N
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,Livery ,N,N
B00823,"EASTERN L.P.B.,INC.",Livery ,N,N
B01148,EVELYN CAR SERVICE INC,Livery ,N,N
B00222,"REYNO CAR SVC, INC.",Livery ,N,N
B02674,ELAL CAR LIMO SERVICE LLC,Livery ,N,N
B02634,VETERANS RADIO DISPATCHER CORP.,Livery ,N,N
B01273,PUERTO RICO CAR SERVICE INC.,Livery ,N,N
B01470,AGUILA CAR & LIMO CORPORATION,Livery ,N,N
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,Livery ,N,N
B01469,"BROTHERS CAR SERVICE, INC.",Livery ,N,N
B00149,RAINBOW RAD DISP INC,Livery ,N,N
B03046,"BEL-LINDA, INC",Livery ,N,N
B00937,RIVERSIDE RADIO DISPATCHER,Livery ,N,N
B01734,AMERICAN DREAM CAR SERVICE INC.,Livery ,N,N
B01639,HIGH CLASS LIMO CAR SVCE CORP,Livery ,N,N
B00008,T-D MAINTENANCE CORP,Livery ,N,N
B01282,NEW LOTS C/S INC,Livery ,N,N
B01711,FLUSHING LIMO TRANSP CORP,Livery ,N,N
B01313,JOY CAR SERVICES INC.,Livery ,N,N
B02553,"NEW JUBILEE CAR SERVICE, INC.",Livery ,N,N
B02710,"GOLDEN AGE TRANSIT,LLC",Livery ,N,N
B02920,AMAZING CAR AND LIMO SERVICE INC,Livery ,N,N
B01721,W.K. CAR & LIMO SERVICE INC,Livery ,N,N
B02301,DOUBLE A CAR SERVICE INC.,Livery ,N,N
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",Livery ,N,N
B01326,DEBORAH C/L SVC INC,Livery ,N,N
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,Livery ,N,N
B00210,"HOWARD CAR SERVICE,INC.",Livery ,N,N
B00429,SURF CAR SYSTEMS INC,Livery ,N,N
B01559,MUNKACS CAR SVC LTD,Livery ,N,N
B01527,NEW FAMILY RAD DISP INC,Livery ,N,Y
B00248,YELLOWSTONE TRANSPORTATION INC.,Livery ,N,Y
B00369,BOULEVARD OPERATING INC.,Livery ,N,N
B01743,TWO WAY BLACK CARS & RAD GRP,Livery ,N,N
B01088,PAISA 2 CAR AND LIMOUSINE SERVICE INC,Livery ,N,N
B02183,BANGLA CAR & LIMO. SERVICE INC.,Livery ,N,N
B00855,MAGNIFICENT 7'S ENTP INC,Livery ,N,N
B01626,LA NUEVA QUISQUEYA C/S INC,Livery ,N,N
B00692,"CHEERS DISPATCH,INC.",Livery ,N,N
B00221,PROFESSIONAL CAR SERVICE INC,Livery ,N,N
B00889,MEXICANA CAR SERVICE INC.,Livery ,N,N
B00225,DELANCEY TRANSPORTATION INC.,Livery ,N,N
B01821,EMPIRE TRANSPORTATION SERVICE INC.,Livery ,N,N
B03219,"EZRA CAR SERVICE, INC.",Livery ,N,N
B02093,V.J. CAR & LIMO SVC INC.,Livery ,N,N
B02021,EASYRIDE CAR SERVICE INC.,Livery ,N,N
B01328,DV LUXURY CAR SERVICE INC,Livery ,N,N
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",Livery ,N,N
B02521,"PICTURE PROPERTIES, INC.",Livery ,N,N
B00965,BEN JEVO MGT. INC.,Livery ,N,N
B00419,KOOP DISPATCHING INC.,Livery ,N,N
B00833,OMEGA CAR SERVICE INC.,Livery ,N,N
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,Livery ,N,N
B00900,BIG Q CAR SVC. INC.,Livery ,N,N
B01653,ART'S PLACE INC.,Livery ,N,N
B01963,AFRO CAR SERVICE CORP,Livery ,N,N
B02717,ZOOM CAR SERVICE INC.,Livery ,N,N
B01029,ZION CAR SERVICE INC.,Livery ,N,N
B01128,PAK-EAGLE INC.,Livery ,N,N
B02594,FENIX MOBILE DISPATCHERS LTD,Livery ,N,N
B00597,WAKEFIELD LSG MAINT CORP,Livery ,N,N
B01045,CAPRICE CAR SERVICE NO.2 INC.,Livery ,N,N
B01250,BELLE MANAGEMENT CORP.,Livery ,N,N
B00037,TRANSP UNLIMITED C/S,Livery ,N,N
B01739,CITY CAR SERVICE CORP,Livery ,N,N
B00445,JOE M LEASING CORP,Livery ,N,N
B01811,IVOIRE LIMO INC.,Livery ,N,N
B01808,OLD TOWN CARS CORP,Livery ,N,N
B01616,"H & B CAR AND LIMOUSINE, INC",Livery ,N,N
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,Livery ,N,N
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,Livery ,N,N
B02851,GALLANT CAR SERVICE CORP.,Livery ,N,N
B00693,BUSHWICK CAR SVCE INC,Livery ,N,N
B01318,LOWER EAST SIDE C/S CORP,Livery ,N,N
B00756,T & S HILLSIDE INC.,Livery ,N,N
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,Livery ,N,N
B02465,7 STAR CAR & LIMOUSINE INC.,Livery ,N,Y
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,Livery ,N,N
B01386,FENIX PREMIUM CORP.,Livery ,N,N
B02111,HUANG HOU CAR SERVICES INC.,Livery ,N,Y
B02107,APOLLO RADIO DISPATCH INC.,Livery ,N,N
B01391,ROSE 'N' DALE C/S INC,Livery ,N,N
B02735,"BEST DEAL CAR SERVICE 2,INC.",Livery ,N,N
B00319,AVENTINE AUTO RENTAL INC,Livery ,N,N
B01013,AMERICANA TRANSPORTATION LLC,Livery ,N,N
B02219,ALL QUEENS CAR & LIMOUSINE INC.,Livery ,N,N
B01146,CHURCH AVE C/S INC,Livery ,N,N
B03041,PUEBLA CITY INC.,Livery ,N,N
B02335,ROCHDALE CAR SERVICE INC.,Livery ,N,N
